id,date,target_mood,activity_mean,activity_std,activity_min,activity_max,appCat.builtin_mean,appCat.builtin_std,appCat.builtin_min,appCat.builtin_max,appCat.communication_mean,appCat.communication_std,appCat.communication_min,appCat.communication_max,appCat.entertainment_mean,appCat.entertainment_std,appCat.entertainment_min,appCat.entertainment_max,appCat.finance_mean,appCat.finance_std,appCat.finance_min,appCat.finance_max,appCat.game_mean,appCat.game_std,appCat.game_min,appCat.game_max,appCat.office_mean,appCat.office_std,appCat.office_min,appCat.office_max,appCat.other_mean,appCat.other_std,appCat.other_min,appCat.other_max,appCat.social_mean,appCat.social_std,appCat.social_min,appCat.social_max,appCat.travel_mean,appCat.travel_std,appCat.travel_min,appCat.travel_max,appCat.unknown_mean,appCat.unknown_std,appCat.unknown_min,appCat.unknown_max,appCat.utilities_mean,appCat.utilities_std,appCat.utilities_min,appCat.utilities_max,appCat.weather_mean,appCat.weather_std,appCat.weather_min,appCat.weather_max,call_mean,call_std,call_min,call_max,circumplex.arousal_mean,circumplex.arousal_std,circumplex.arousal_min,circumplex.arousal_max,circumplex.valence_mean,circumplex.valence_std,circumplex.valence_min,circumplex.valence_max,screen_mean,screen_std,screen_min,screen_max,sms_mean,sms_std,sms_min,sms_max,mood_slope,mood_recent_mean,mood_distal_mean,mood_recency_diff,appCat.social_ratio,appCat.entertainment_ratio,appCat.communication_ratio,activity_circadian_std
AS14.03,2014-03-28,8.0,0.11824874497056526,0.03559439648741743,0.090740222421567,0.1913883086450861,150.448,85.48160017220081,38.585,311.985,966.7388571428571,304.1404221217695,458.495,1386.356,348.25457142857147,142.08349927807254,83.443,493.627,39.89457142857143,40.35514706013222,0.0,105.217,0.0,0.0,0.0,0.0,20.251428571428573,20.61425517075254,0.0,67.687,116.73457142857141,67.35434890160533,44.311,251.43,0.0,0.0,0.0,0.0,65.25571428571429,103.24176820967968,0.0,275.40500000000003,9.433857142857141,16.02451982279096,0.0,47.324,7.9741428571428585,10.26791858764224,0.0,28.843000000000004,6.4077142857142855,15.695630417542382,0.0,44.854,3.857142857142857,2.415933503612538,1.0,8.0,0.19285714285714287,0.5672166198883377,-0.6,1.0,1.1857142857142857,0.4223355856884138,0.5,2.0,2416.64971450397,899.4165472419043,1202.8930001258857,3972.031999826432,0.8571428571428571,0.6388765649999398,0.0,2.0,-0.11607142857142863,8.0,8.12,-0.11999999999999922,0.0,0.2011412112820112,0.5583588577787965,0.03559439648741743
AS14.03,2014-03-29,8.6,0.11631025111463687,0.033294341479465236,0.090740222421567,0.1913883086450861,146.71985714285714,89.73404528052976,35.607,311.985,983.4482857142857,299.00426329961743,458.495,1386.356,369.8751428571428,107.43212010438242,212.831,493.627,39.89457142857143,40.35514706013222,0.0,105.217,0.0,0.0,0.0,0.0,20.68542857142857,20.42594771962608,0.0,67.687,132.22057142857142,81.44527655839514,44.311,251.43,0.0,0.0,0.0,0.0,65.25571428571429,103.24176820967968,0.0,275.40500000000003,18.546285714285716,24.14689759850431,0.0,63.787000000000006,8.98057142857143,9.770196135728918,0.0,28.843000000000004,6.4077142857142855,15.695630417542382,0.0,44.854,3.5714285714285716,2.381904571504724,1.0,8.0,-0.021428571428571415,0.5013247755819025,-0.6,0.8,1.1142857142857143,0.3043896536094645,0.5,1.5,2471.17785695621,863.0254303723998,1202.8930001258857,3972.031999826432,0.5714285714285714,0.4948716593053935,0.0,1.0,0.005357142857142757,7.875,7.970000000000001,-0.09500000000000064,0.0,0.2063996070227935,0.5487888105448246,0.033294341479465236
AS14.03,2014-03-30,8.4,0.1123086838451461,0.02457088974545316,0.090740222421567,0.1633773377586506,124.37142857142855,98.74918221846866,19.31,311.985,939.7958571428571,382.97222903026295,152.928,1386.356,388.24228571428563,88.2998733694518,234.787,493.627,46.94757142857143,36.93580814972741,0.0,105.217,0.0,0.0,0.0,0.0,20.68542857142857,20.42594771962608,0.0,67.687,134.3932857142857,80.46604193378593,44.311,251.43,0.0,0.0,0.0,0.0,41.17785714285714,95.72540205702765,0.0,275.40500000000003,18.546285714285716,24.14689759850431,0.0,63.787000000000006,8.359142857142858,10.174915828764828,0.0,28.843000000000004,6.4077142857142855,15.695630417542382,0.0,44.854,2.4285714285714284,1.8405855323893037,0.0,6.0,-0.1642857142857143,0.3729364994916175,-0.6,0.5,1.2,0.34226138716316973,0.5,1.6,2461.58385699136,877.3260581021858,1135.735000371933,3972.031999826432,0.5714285714285714,0.4948716593053935,0.0,1.0,0.05535714285714307,8.3,7.959999999999999,0.34000000000000163,0.0,0.224556801874127,0.5435717845785097,0.02457088974545316
AS14.03,2014-03-31,7.4,0.12150925768406995,0.02982746387317338,0.090740222421567,0.1646507152666788,81.64057142857142,68.36066459774142,12.869,204.67,1009.181857142857,384.1089070940423,152.928,1386.356,354.0667142857143,105.22575471909946,203.617,493.627,41.75271428571428,40.44914648477689,0.0,105.217,0.0,0.0,0.0,0.0,19.596428571428568,21.27874140247654,0.0,67.687,128.22342857142854,79.80419761938259,44.311,251.43,0.0,0.0,0.0,0.0,1.8342857142857143,4.493064042476573,0.0,12.84,23.58442857142857,23.419912265647202,0.0,63.787000000000006,8.359142857142858,10.174915828764828,0.0,28.843000000000004,4.5649999999999995,11.181920675805209,0.0,31.955,2.4285714285714284,1.8405855323893037,0.0,6.0,-0.16428571428571428,0.3729364994916175,-0.6,0.5,1.1714285714285713,0.34934340744678527,0.5,1.6,2414.432999713081,889.4096616671796,1135.735000371933,3972.031999826432,0.42857142857142855,0.49487165930539345,0.0,1.0,0.11249999999999966,8.5,7.92,0.5800000000000001,0.0,0.21166053723976982,0.603287362062275,0.02982746387317338
AS14.03,2014-04-01,7.6,0.12049402370891875,0.03095702410138137,0.0836335845955086,0.1646507152666788,135.385,131.8179347151647,12.869,414.796,955.4852857142856,352.6097936844694,152.928,1305.098,316.8791428571429,100.22956454834582,203.617,493.627,37.79185714285715,35.03595079925994,0.0,87.141,0.0,0.0,0.0,0.0,16.413142857142855,22.281840911562114,0.0,67.687,106.41714285714286,62.035789192158084,44.311,246.376,0.0,0.0,0.0,0.0,1.8342857142857143,4.493064042476572,0.0,12.84,22.003857142857147,24.557287922782702,0.0,63.787000000000006,8.36257142857143,10.1738331567822,0.0,28.843000000000004,4.5649999999999995,11.181920675805207,0.0,31.955,2.4285714285714284,1.8405855323893037,0.0,6.0,-0.021428571428571432,0.37019024342428397,-0.5,0.5,1.0571428571428572,0.3849198167230709,0.5,1.6,2157.3437140328547,621.8801512394397,1135.735000371933,3250.2300000190744,0.5714285714285714,0.4948716593053935,0.0,1.0,-0.0017857142857141267,7.9,8.08,-0.17999999999999972,0.0,0.19741560156714674,0.5952670181037473,0.03095702410138137
AS14.03,2014-04-02,7.4,0.1154434600836072,0.03142296323259411,0.0836335845955086,0.1646507152666788,119.28114285714284,129.2302662596925,12.869,414.796,870.7281428571426,328.8950541666222,152.928,1223.623,286.2232857142857,98.79979972610455,198.897,493.627,38.94914285714286,35.567684728972615,0.0,87.141,0.0,0.0,0.0,0.0,9.849285714285713,9.048602713194148,0.0,21.74,115.53742857142856,56.69801826180811,60.032,246.376,0.0,0.0,0.0,0.0,1.8342857142857143,4.493064042476572,0.0,12.84,15.243285714285715,23.12866355050921,0.0,63.787000000000006,4.242142857142857,6.049643352618198,0.0,17.490000000000002,4.5649999999999995,11.181920675805207,0.0,31.955,1.8571428571428572,1.124858267715973,0.0,3.0,0.09285714285714286,0.3589951963751161,-0.5,0.5,0.9428571428571428,0.4403152859263555,0.4,1.6,1903.2115710462842,467.7165074087556,1135.735000371933,2691.363998889923,0.42857142857142855,0.49487165930539345,0.0,1.0,-0.08035714285714356,7.5,8.2,-0.6999999999999993,0.0,0.19518065552140773,0.5937647221108423,0.03142296323259411
AS14.03,2014-04-03,7.8,0.11366273681883754,0.03305959662195458,0.0786881382869165,0.1646507152666788,118.78714285714285,129.23838582516373,12.869,414.796,827.4182857142857,312.2686828507575,152.928,1223.623,244.669,53.7115070538893,198.897,341.401,35.84885714285714,31.998652683371223,0.0,77.491,0.0,0.0,0.0,0.0,9.565714285714284,8.730112071188445,0.0,21.74,119.27485714285716,54.57217562727253,60.032,246.376,0.0,0.0,0.0,0.0,7.735,18.946803160427883,0.0,54.145,14.150571428571428,23.636750911947896,0.0,63.787000000000006,4.242142857142857,6.049643352618198,0.0,17.490000000000002,4.5649999999999995,11.181920675805207,0.0,31.955,2.0,1.0690449676496976,0.0,3.0,0.05,0.32403703492039304,-0.5,0.4,0.8857142857142856,0.45490523794544735,0.4,1.6,1708.4487141541072,373.29414249997984,1135.735000371933,2172.4070000648494,0.42857142857142855,0.49487165930539345,0.0,1.0,-0.10892857142857114,7.5,8.03,-0.5299999999999994,0.0,0.1764961876774821,0.5968723992136685,0.03305959662195458
AS14.03,2014-04-04,7.8,0.11086855120473081,0.03461611121425163,0.0786881382869165,0.1646507152666788,105.496,130.96047712409813,12.869,414.796,792.2071428571429,312.4253465163106,152.928,1223.623,227.45728571428572,48.380033640554906,191.634,341.401,46.14928571428572,30.364281011526337,0.0,77.491,0.0,0.0,0.0,0.0,7.6461428571428565,9.135697274640702,0.0,21.74,123.73271428571427,50.68693033490498,91.237,246.376,0.0,0.0,0.0,0.0,7.735,18.946803160427883,0.0,54.145,17.03514285714286,22.95612858369243,0.0,63.787000000000006,5.914571428571429,9.88395053836764,0.0,29.197000000000003,4.5649999999999995,11.181920675805207,0.0,31.955,1.7142857142857142,1.0301575072754257,0.0,3.0,0.014285714285714306,0.31363569143000214,-0.5,0.4,0.9571428571428571,0.4271404682207444,0.4,1.6,1602.9399996825628,442.2616795684901,1019.8629999160768,2172.4070000648494,0.2857142857142857,0.45175395145262565,0.0,1.0,-0.13571428571428565,7.6,8.0,-0.40000000000000036,0.0,0.17000581278145652,0.5921103770748342,0.03461611121425163
AS14.03,2014-04-05,7.6,0.10835816155290125,0.0355972248571406,0.0786881382869165,0.1646507152666788,139.88857142857142,139.4288906082412,12.869,414.796,707.4392857142857,339.8793098711509,152.928,1223.623,226.38585714285713,48.288806979993,191.634,341.401,52.90414285714286,23.922676835579917,0.0,77.491,0.0,0.0,0.0,0.0,6.657428571428572,8.864159646853048,0.0,21.74,101.50714285714287,9.021465788861136,90.797,118.31,0.0,0.0,0.0,0.0,7.735,18.946803160427883,0.0,54.145,7.922714285714286,13.15887718521266,0.0,35.267,4.908142857142857,10.07444677571601,0.0,29.197000000000003,4.5649999999999995,11.181920675805207,0.0,31.955,1.2857142857142858,1.0301575072754254,0.0,3.0,0.1142857142857143,0.23560603574958058,-0.2,0.4,0.9428571428571428,0.4100771455544949,0.4,1.6,1610.8811426503319,450.5784156774541,1019.8629999160768,2172.4070000648494,0.7142857142857143,1.0301575072754254,0.0,3.0,-0.128571428571428,7.8,7.88,-0.08000000000000007,0.0,0.17968368117851194,0.561498393370156,0.0355972248571406
AS14.03,2014-04-06,6.8,0.10136539010589922,0.028126188575269034,0.0786881382869165,0.1646507152666788,158.07871428571428,130.53359889175144,12.869,414.796,844.2215714285713,275.82542515348734,347.504,1223.623,207.9161428571429,11.401635852913786,191.634,227.287,45.85114285714286,30.341421095961362,0.0,77.491,0.0,0.0,0.0,0.0,7.238,8.53612791107805,0.0,21.74,95.28385714285714,16.65668748948749,60.862,118.31,0.0,0.0,0.0,0.0,10.548714285714286,19.051381012666663,0.0,54.145,7.922714285714286,13.15887718521266,0.0,35.267,4.908142857142857,10.074446775716009,0.0,29.197000000000003,4.5649999999999995,11.181920675805207,0.0,31.955,2.142857142857143,1.8070158058105026,0.0,6.0,0.31428571428571433,0.41206300291017023,-0.2,1.2,0.8571428571428571,0.31558174334820743,0.4,1.4,1717.1279995441434,412.0506132851762,1019.8629999160768,2172.4070000648494,0.5714285714285714,1.049781318335648,0.0,3.0,-0.049999999999999864,7.699999999999999,7.719999999999999,-0.019999999999999574,0.0,0.14995387264729382,0.608871885888533,0.028126188575269034
AS14.03,2014-04-07,7.4,0.08881129013712181,0.012154605821577001,0.076772015485237,0.1144279376296363,157.8207142857143,130.8218178906106,11.063,414.796,741.1198571428571,248.2449812517745,347.504,1110.404,242.2201428571429,83.03991933389382,191.634,443.745,45.85114285714286,30.341421095961355,0.0,77.491,0.0,0.0,0.0,0.0,7.238,8.53612791107805,0.0,21.74,86.58657142857143,18.187138979094485,57.429,108.153,0.0,0.0,0.0,0.0,10.548714285714286,19.051381012666663,0.0,54.145,6.183714285714286,9.808024727804497,0.0,23.094,4.908142857142857,10.074446775716009,0.0,29.197000000000003,0.0,0.0,0.0,0.0,2.0,1.927248223318863,0.0,6.0,0.37142857142857144,0.3614031611621005,0.0,1.2,0.8285714285714285,0.31036515689143473,0.4,1.4,1727.9114280087608,421.4130628462621,1019.8629999160768,2172.4070000648494,0.5714285714285714,1.049781318335648,0.0,3.0,-0.05000000000000002,7.199999999999999,7.6,-0.40000000000000036,0.0,0.18596884463767335,0.5690080186773794,0.012154605821577001
AS14.03,2014-04-08,7.4,0.09744419759333911,0.0224833201287311,0.076772015485237,0.1440639367890296,121.59871428571428,79.8137215140252,11.063,276.355,808.8658571428571,354.4839041320408,347.504,1484.702,238.56885714285718,84.5241064759103,191.634,443.745,36.784,28.984721876977087,0.0,72.103,0.0,0.0,0.0,0.0,9.177285714285714,8.207152624636734,0.0,21.74,82.7717142857143,18.02810805155015,57.429,108.153,0.0,0.0,0.0,0.0,10.548714285714286,19.051381012666663,0.0,54.145,18.007142857142856,28.084385694487512,0.0,82.764,4.171,10.216821717148637,0.0,29.197000000000003,0.0,0.0,0.0,0.0,1.8571428571428572,1.8844151368961313,0.0,6.0,0.3428571428571429,0.3658928135675913,0.0,1.2,0.8857142857142858,0.2996596709057575,0.4,1.4,1686.731285061155,388.78658951008595,1019.8629999160768,2122.078998804094,0.42857142857142855,1.049781318335648,0.0,3.0,-0.07142857142857162,7.1,7.640000000000001,-0.5400000000000009,0.0,0.17930857652902743,0.6079443360051314,0.0224833201287311
AS14.03,2014-04-09,7.8,0.09836084742463246,0.02259394670797255,0.076772015485237,0.1440639367890296,128.21514285714287,78.99660165824237,11.063,276.355,804.8038571428572,355.73363156176623,347.504,1484.702,242.59942857142855,83.19854027541099,191.634,443.745,32.27657142857142,27.65823283714036,0.0,72.103,0.0,0.0,0.0,0.0,6.0715714285714295,6.870059614154801,0.0,18.699,77.45171428571429,14.99233804042476,57.429,98.842,0.0,0.0,0.0,0.0,10.548714285714286,19.051381012666663,0.0,54.145,19.596857142857143,27.32477711543432,0.0,82.764,4.171,10.216821717148637,0.0,29.197000000000003,0.0,0.0,0.0,0.0,1.8571428571428572,1.884415136896131,0.0,6.0,0.34285714285714286,0.36589281356759135,0.0,1.2,1.0,0.2390457218668787,0.6,1.4,1702.1105709075928,382.0313363075063,1019.8629999160768,2122.078998804094,0.5714285714285714,1.049781318335648,0.0,3.0,-0.06428571428571349,7.4,7.4799999999999995,-0.07999999999999918,0.0,0.18299241908315214,0.6070624550653524,0.02259394670797255
